"obs_id","obs_name","lat","lon","gov_agency","addr","etc_addr","rel_river","opened_at","first_at","last_at","data_key","created_at","updated_at"
"10184140","서울시(송정동)","37-33-08","127-03-20","환경부","서울특별시 성동구","송정동 75-30","한강","2002-03-01","2002-10-17","2024072400:00:00","20240724","2002-10-17","20240724"
"10184150","과천시(한국수자원공사)","37-25-25","126-59-14","환경부","경기도 과천시","교육원로 11 한국수자원공사 수도권지역본부","한강","2002-10-01","2002-10-17","2024072400:00:00","20240724","2002-10-17","20240724"
"10184160","부천시(부안초교)","37-28-48","126-48-42","환경부","경기도 부천시","소사구 경인로 484번길 75 부안초등학교","한강","2002-10-01","2002-10-17","2024072400:00:00","20240724","2002-10-17","20240724"
"10184170","군포시(군포1동주민센터)","37-21-14","126-56-44","환경부","경기도 군포시","군포로 531 군포1동 행정복지센터","한강","2002-10-01","2002-10-17","2024072400:00:00","20240724","2002-10-17","20240724"
"10184180","성남시(성남북초교)","37-27-05","127-09-04","환경부","경기도 성남시","수정구 희망로 534번길 3 성남북초등학교","한강","2002-10-01","2002-10-17","2024072400:00:00","20240724","2002-10-17","20240724"
"10184190","서울시(동막골주차장)","37-40-29","127-05-09","환경부","서울특별시 노원구","덕릉로 897 동막골 주차장","한강","2002-10-01","2002-10-17","2024072400:00:00","20240724","2002-10-17","20240724"
"10184200","서울시(월계2교)","37-37-27","127-03-00","환경부","서울특별시 노원구","월계동 월계2교","한강","2002-10-01","2002-10-17","2024072400:00:00","20240724","2002-10-17","20240724"
"10184210","의왕시(포일동)","37-23-20","126-59-17","환경부","경기도 의왕시","포일동 157","한강","2002-10-01","2002-10-17","2024072400:00:00","20240724","2002-10-17","20240724"
"10184220","남양주시(진접읍사무소)","37-43-34","127-11-24","환경부","경기도 남양주시","진접읍 금강로 1509-26 진접읍행정복지센터","한강","2002-10-01","2002-10-17","2024072400:00:00","20240724","2002-10-17","20240724"
"10184230","성남시(구미초교)","37-20-16","127-07-04","환경부","경기도 성남시","분당구 미금로 22번길 25 구미초등학교","한강","2002-10-16","2002-10-17","2024072400:00:00","20240724","2002-10-17","20240724"
"10184232","팔당댐","37-31-38","127-17-00","한국수력원자력","경기도 남양주시","조안면 다산로 320","한강","1986-01-06","2014-06-12","2015071300:00:00","20240724","2014-06-12","20150713"
"10194010","김포시(김포시청)","37-36-55","126-42-56","환경부","경기도 김포시","사우중로 1 김포시청","한강","1962-07-01","1980-06-01","2024072400:00:00","20240724","1980-06-01","20240724"
"10194020","귤현보","37-34-9","126-46-2","한국수자원공사","인천광역시 계양구 귤현동","59-9","한강","2011-12-01","2015-08-04","2024072400:00:00","20240724","2015-08-04","20240724"
"10194030","아라김포TM","37-36-0","126-47-57","한국수자원공사","서울특별시 강서구 개화동","22-3","한강","2011-12-01","2015-08-04","2024072400:00:00","20240724","2015-08-04","20240724"
"10204010","연천군(고문분교)","38-03-55","127-06-47","환경부","경기도 연천군","연천읍 현문로 459 고문분교","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"10204020","연천군(상리초교)","38-08-07","127-04-31","환경부","경기도 연천군","연천읍 상리로 70 상리초등학교","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"10214010","연천군(임진교)","38-03-23","127-01-03","환경부","경기도 연천군","군남면 진상리 임진교","한강","2000-07-01","2000-07-01","2024072400:00:00","20240724","2000-07-01","20240724"
"10214020","연천군(횡산리)","38-06-59","126-59-12","한국수자원공사","경기도 연천군 중면","횡산리 238","한강","2011-07-01","2015-08-04","2024072400:00:00","20240724","2015-08-04","20240724"
"10214030","연천군(군남댐)","38-06-13","127-01-16","한국수자원공사","경기도 연천군 군남면","선곡리 627-2","한강","2011-07-01","2015-08-04","2024072400:00:00","20240724","2015-08-04","20240724"
"10224010","포천시(용담교)","38-07-26","127-16-19","환경부","경기도 포천시","영북면 자일리 용담교","한강","2000-07-01","2000-07-01","2024072400:00:00","20240724","2000-07-01","20240724"
"10224020","포천시(영송리)","38-00-34","127-12-59","환경부","경기도 포천시","영중면 영송리 549-6","한강","2000-07-01","2000-07-01","2024072400:00:00","20240724","2000-07-01","20240724"
"10224030","철원군(청양리)","38-14-33","127-22-22","환경부","강원특별자치도 철원군","김화읍 청양로 320 홍천국토관리사무소 건물","한강","2000-07-01","2000-07-01","2024072400:00:00","20240724","2000-07-01","20240724"
"10224040","포천시(노곡리)","38-00-33","127-20-29","환경부","경기도 포천시","이동면 노곡리 566-1","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"10224050","양주시(봉암초교)","37-54-39","127-00-21","환경부","경기도 양주시","은현면 삼육사로 473 봉암초등학교","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"10224060","포천시(포천삼정초교)","37-57-50","127-07-53","환경부","경기도 포천시","신북면 청신로 947번길 17 삼정초등학교","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"10224070","포천시(송우초교)","37-49-48","127-08-37","환경부","경기도 포천시","소홀읍 송우로 42 송우초등학교","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"10224080","철원군(오덕초교)","38-13-26","127-14-01","환경부","강원특별자치도 철원군","동송읍 오덕로 159 오덕초등학교","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"10224090","포천시(화현초교)","37-54-01","127-16-40","환경부","경기도 포천시","화현면 지현리 119-1","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"10224100","철원군(서면초교)","38-10-09","127-25-01","환경부","강원특별자치도 철원군","서면 자등로 634 서면초등학교","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
