"obs_id","obs_name","lat","lon","gov_agency","attn_level","warn_level","danger_level","river","rel_river","opened_at","first_at","last_at","data_key","created_at","updated_at"
"1003642","단양군(덕천교)","37.00555555555555","128.38916666666665","환경부","9.0","10.1","13.1","한강","한강","2010-11-11","2010122112:00:00","2024080713:00:00","2024080714:01:29","2010122112:00:00","2024080713:00:00"
"1003645","단양군(단양1교)","36.93111111111111","128.33555555555557","환경부","2.5","4.0","5.0","죽령천","한강","2016-11-07","2009102700:00:00","2024080713:00:00","2024080714:01:29","2009102700:00:00","2024080713:00:00"
"1003657","제천시(강저3교)","37.12277777777778","128.20388888888888","환경부","2.5","3.1","3.6","장평천","한강","2022-04-01","2022040101:00:00","2024080713:00:00","2024080714:01:29","2022040101:00:00","2024080713:00:00"
"1003658","제천시(부수동교)","37.14861111111111","128.0088888888889","환경부","2.5","4.0","4.5","원서천","한강","2016-11-07","2016110901:00:00","2024080713:00:00","2024080714:01:29","2016110901:00:00","2024080713:00:00"
"1003660","제천시(팔송교)","37.14722222222222","128.11972222222224","환경부","3.0","3.3","4.0","제천천","한강","2014-12-29","2014122912:00:00","2024080713:00:00","2024080714:01:29","2014122912:00:00","2024080713:00:00"
"1003661","제천시(구곡교)","37.11222222222222","128.10611111111112","환경부","3.5","4.5","5.5","제천천","한강","2015-12-30","2015123010:00:00","2024080713:00:00","2024080714:01:29","2015123010:00:00","2024080713:00:00"
"1004620","청주시(옥화1교)","36.61527777777778","127.70166666666667","환경부","2.0","3.8","4.6","달천","한강","2014-12-29","2014122912:00:00","2024080713:00:00","2024080714:01:29","2014122912:00:00","2024080713:00:00"
"1004645","괴산군(수전교)","36.76722222222222","127.8425","환경부","2.0","4.2","5.4","달천","한강","1998-01-01","1999060101:00:00","2024080713:00:00","2024080714:01:29","1999060101:00:00","2024080713:00:00"
"1004646","괴산군(비도교)","36.79","127.87805555555555","환경부","2.0","3.0","3.5","쌍천","한강","2011-12-14","2011121417:00:00","2024080713:00:00","2024080714:01:29","2011121417:00:00","2024080713:00:00"
"1004661","괴산군(제2괴산교)","36.80916666666666","127.79861111111111","환경부","3.8","4.2","5.2","동진천","한강","2022-04-01","2022040101:00:00","2024080713:00:00","2024080714:01:29","2022040101:00:00","2024080713:00:00"
"1004670","괴산군(추산교)","36.89361111111111","127.81416666666667","환경부","3.5","4.5","5.9","음성천","한강","2013-12-31","2013122711:00:00","2024080713:00:00","2024080714:01:29","2013122711:00:00","2024080713:00:00"
"1004680","충주시(문강교)","36.88777777777778","127.94611111111111","환경부","2.0","3.3","3.9","석문동천","한강","2014-12-29","2014122912:00:00","2024080713:00:00","2024080714:01:29","2014122912:00:00","2024080713:00:00"
"1004693","괴산군(목도교)","36.87","127.85527777777777","환경부","2.0","5.2","6.1","달천","한강","2011-12-14","2011121416:00:00","2024080713:00:00","2024080714:01:29","2011121416:00:00","2024080713:00:00"
"1004695","충주시(국원대교)","36.96611111111111","127.87166666666666","환경부","4.0","5.0","6.0","요도천","한강","2013-12-31","2013122711:00:00","2024080713:00:00","2024080714:01:29","2013122711:00:00","2024080713:00:00"
"1005605","충주시(탄금교)","36.98861111111111","127.89","환경부","3.0","4.5","5.8","달천","한강","2006-10-23","2006120100:00:00","2024080713:00:00","2024080714:01:29","2006120100:00:00","2024080713:00:00"
"1005640","충주시(목계교)","37.07611111111112","127.88111111111111","환경부","3.0","5.6","7.3","한강","한강","1917-01-01","1917070403:00:00","2024080713:00:00","2024080714:01:29","1917070403:00:00","2024080713:00:00"
"1005695","원주시(법천교)","37.20444444444445","127.75416666666666","환경부","3.5","5.3","6.8","법천천","한강","2006-10-23","2006120100:00:00","2024080713:00:00","2024080714:01:29","2006120100:00:00","2024080713:00:00"
"1005697","원주시(남한강대교)","37.20611111111111","127.74777777777778","환경부","4.0","7.1","9.3","한강","한강","2010-11-11","2010122112:00:00","2024080713:00:00","2024080714:01:29","2010122112:00:00","2024080713:00:00"
"1006630","횡성군(오산교)","37.520833333333336","127.99138888888889","환경부","3.5","3.9","4.7","금계천","한강","2014-12-29","2014122912:00:00","2024080713:00:00","2024080714:01:29","2014122912:00:00","2024080713:00:00"
"1006650","횡성군(횡성교)","37.495","127.98055555555555","환경부","1.5","3.7","5.0","섬강","한강","1962-07-01","1972081823:00:00","2024080713:00:00","2024080714:01:29","1972081823:00:00","2024080713:00:00"
"1006660","횡성군(전천교)","37.48222222222223","127.98138888888889","환경부","2.0","3.4","4.2","전천","한강","2006-10-23","2006120219:00:00","2024080713:00:00","2024080714:01:29","2006120219:00:00","2024080713:00:00"
"1006665","원주시(원주교)","37.34777777777778","127.95555555555556","환경부","1.0","2.5","3.4","","한강","1962-07-01","1976081315:00:00","2024080713:00:00","2024080714:01:29","1976081315:00:00","2024080713:00:00"
"1006666","원주시(가현교)","37.39472222222222","127.93555555555555","환경부","6.6","8.6","9.6","","한강","2024-01-16","2024011611:00:00","2024080713:00:00","2024080714:01:29","2024011611:00:00","2024080713:00:00"
"1006670","원주시(옥산교)","37.42861111111111","127.92166666666667","환경부","2.5","5.6","7.4","섬강","한강","2012-10-15","2012092118:00:00","2024080713:00:00","2024080714:01:29","2012092118:00:00","2024080713:00:00"
"1006672","원주시(장현교)","37.42027777777778","127.89805555555556","환경부","5.0","5.6","7.1","섬강","한강","2007-07-18","2007051416:00:00","2024080713:00:00","2024080714:01:29","2007051416:00:00","2024080713:00:00"
"1006680","원주시(지정대교)","37.361666666666665","127.83166666666666","환경부","4.5","5.1","6.4","섬강","한강","1962-07-01","1964041910:00:00","2024080713:00:00","2024080714:01:29","1964041910:00:00","2024080713:00:00"
"1006690","원주시(문막교)","37.305","127.81027777777777","환경부","3.5","4.6","5.8","섬강","한강","1980-06-01","1983072004:00:00","2024080713:00:00","2024080714:01:29","1983072004:00:00","2024080713:00:00"
"1007604","안성시(한평교)","37.10638888888889","127.43361111111112","환경부","5.0","6.0","7.0","청미천","한강","2016-11-07","2016110901:00:00","2024080713:00:00","2024080714:01:29","2016110901:00:00","2024080713:00:00"
"1007605","이천시(장호원교)","37.11361111111111","127.63472222222222","환경부","2.0","3.7","4.7","청미천","한강","2006-10-23","2006120100:00:00","2024080713:00:00","2024080714:01:29","2006120100:00:00","2024080713:00:00"
"1007610","음성군(총천교)","37.07083333333334","127.60444444444444","환경부","2.0","3.2","3.9","응천","한강","2007-12-08","2008012317:00:00","2024080713:00:00","2024080714:01:29","2008012317:00:00","2024080713:00:00"
"1007615","여주시(원부교)","37.16222222222222","127.63444444444445","환경부","4.0","5.5","6.5","청미천","한강","1985-01-01","1984070301:00:00","2024080713:00:00","2024080714:01:29","1984070301:00:00","2024080713:00:00"
"1007617","여주시(삼합교)","37.202222222222225","127.71916666666667","환경부","3.5","5.7","7.4","청미천","한강","2007-12-07","2008012317:00:00","2024080713:00:00","2024080714:01:29","2008012317:00:00","2024080713:00:00"
"1007620","여주시(강천리)","37.23111111111111","127.71388888888889","환경부","5.0","8.8","11.8","한강","한강","1996-09-01","1994121413:00:00","2024080713:00:00","2024080714:01:29","1994121413:00:00","2024080713:00:00"
"1007625","여주시(남한강교)","37.254444444444445","127.68111111111112","환경부","6.0","7.0","8.7","한강","한강","2001-04-19","2000101700:00:00","2024080713:00:00","2024080714:01:29","2000101700:00:00","2024080713:00:00"
"1007633","강천보(상류)","37.27305555555555","127.68333333333334","환경부","38.5","42.3","43.7","한강","한강","2011-12-01","2011120100:00:00","2024080713:00:00","2024080714:01:29","2011120100:00:00","2024080713:00:00"
"1007635","여주시(여주대교)","37.296388888888885","127.64777777777779","환경부","3.3","6.0","8.0","한강","한강","1913-03-01","1917070413:00:00","2024080713:00:00","2024080714:01:29","1917070413:00:00","2024080713:00:00"
"1007639","여주보(상류)","37.32611111111112","127.61555555555555","환경부","33.5","37.0","38.4","한강","한강","2012-02-22","2012022211:00:00","2024080713:00:00","2024080714:01:29","2012022211:00:00","2024080713:00:00"
