"obs_id","obs_name","lat","lon","gov_agency","addr","etc_addr"
"20024180","청송군(갈천리)","36-11-44","128-56-49","한국수자원공사","경상북도 청송군","현서면 성덕댐로 606"
"20024190","청송군(무계리)","36-11-01","128-58-58","한국수자원공사","경상북도 청송군 현서면","무계리 산49"
"20034010","의성군(풍지교)","36-31-48","128-21-54","환경부","경상북도 의성군","다인면 용곡리 764 (풍지교)"
"20034020","의성군(윤암리)","36-25-01","128-46-25","환경부","경상북도 의성군","점곡면 윤암리 245-2번지"
"20034030","안동시(만운리)","36-35-58","128-34-40","환경부","경상북도 안동시","풍산읍 만운리 산29-3"
"20034040","안동시(망호리)","36-28-22","128-39-46","환경부","경상북도 안동시","일직면 망호리 401-25번지"
"20044010","영주시(서천교)","36-49-49","128-36-50","환경부","경상북도 영주시","영주동 470-1"
"20044020","영주시(부석중고교)","36-58-41","128-39-04","환경부","경상북도 영주시","부석면 소천리 501-1 (부석중고교)"
"20044030","문경시(동로면사무소)","36-46-24","128-18-52","환경부","경상북도 문경시","동로면 적성리 545 (동로면사무소)"
"20044040","대구","36-51-00","128-36-00","기타","대구광역시","낙동강조사단본부"
"20044050","영주시(수철리)","36-53-53","128-28-00","환경부","경상북도 영주시","풍기읍 수철리 산19-9"
"20044060","경천댐","36-41-37","128-18-46","한국농어촌공사","경상북도 문경시 동로면","마광리"
"20044070","예천군(두천리)","36-42-22","128-21-38","환경부","경상북도 예천군","용문면 두천리 산21-2"
"20044080","예천군(고평교)","36-37-10","128-29-16","환경부","경상북도 예천군","호명면 월포리 624 (고평교)"
"20044090","예천군(은풍면사무소)","36-44-42","128-26-35","환경부","경상북도 예천군","은풍면 우곡리 140-1 (은풍면사무소)"
"20044100","영주시(성내리)","36-52-14","128-31-12","환경부","경상북도 영주시","풍기읍 성내리 143-2 (영주도서관 풍기분관 내)"
"20044110","봉화군(봉화대교)","36-53-19","128-43-57","환경부","경상북도 봉화군","봉화읍 내성리 506 (봉화대교)"
"20044120","영주시(영주댐)","36-43-36","128-39-19","한국수자원공사","경상북도 영주시 평은면","용혈리 897-2"
"20044130","봉화군(도촌초)","36-52-45","128-41-10","한국수자원공사","경상북도 봉화군 봉화읍","봉화로 639 도촌초등학교"
"20044140","봉화군(상운초)","36-49-49","128-45-15","한국수자원공사","경상북도 봉화군 상운면","예봉로 1231 상운초등학교"
"20054010","문경시(농암리)","36-35-47","128-00-25","환경부","경상북도 문경시","농암면 농암리 99-1"
"20054020","문경시(김용리)","36-35-21","128-13-00","환경부","경상북도 문경시","영순면 김용리 259-2"
"20054030","상주시(하송리)","36-28-17","127-57-59","환경부","경상북도 상주시","화서면 하송리 181-6"
"20054040","상주시(이안교)","36-32-38","128-09-32","환경부","경상북도 상주시","이안면 이안리 493-1 (이안교)"
"20054050","거창","36-41-00","127-58-00","기타","경상남도 거창군","거창읍    금천동    거창농고"
"20054060","상주시(화북초교)","36-33-60","127-54-43","환경부","경상북도 상주시","화북면 장암리 110-1 (화북초교)"
"20054070","문경시(진안리)","36-44-33","128-04-55","환경부","경상북도 문경시","문경읍 진안리 360-14 (문경도자기박물관 부근)"
"20054080","문경시(화산리)","36-34-25","127-59-27","환경부","경상북도 문경시","농암면 화산리 155-1"
"20064010","상주시(후천교)","36-25-41","128-09-31","환경부","경상북도 상주시","계산동 523 (후천교)"
"20064020","상주시(외서면사무소)","36-28-46","128-06-29","환경부","경상북도 상주시","외서면 가곡리 101-1 (외서면사무소)"
"20074010","예천군(상풍교)","36-29-55","128-16-07","환경부","경상북도 예천군","풍양면 효갈리1083-1 (상풍교)"
"20084010","의성군(도서리)","36-20-39","128-41-50","환경부","경상북도 의성군","의성읍 도서리 81-7"
"20084020","군위군(정리)","36-14-37","128-33-48","환경부","경상북도 군위군","군위읍 정리 1123-3"
"20084030","의성군(안계면사무소)","36-23-03","128-26-24","환경부","경상북도 의성군","안계면 용기리 475-2 (안계면사무소)"
"20084050","군위군(고곡리)","36-06-23","128-34-03","환경부","경상북도 군위군","효령면 고곡리 산85-1"
"20084060","군위군(효령교)","36-09-21","128-35-01","환경부","경상북도 군위군","효령면 중구리 307-3 (효령교)"
"20084070","군위군(대율초교)","36-03-46","128-39-19","환경부","경상북도 군위군","부계면 대율리 644-1 (대율초교)"
"20084080","우보","36-11-31","128-39-46","환경부","경상북도 군위군 우보면","이화리 우보초등교"
"20084090","군위군(화본리)","36-07-40","128-41-49","환경부","경상북도 군위군","산성면 화본리 826-1"
"20084100","군위군(화수리)","36-07-38","128-45-07","환경부","경상북도 군위군","고로면 화수리 937-5"
"20084110","군위군(고로면)","36-06-22","128-44-56","환경부","경상북도 군위군","고로면 화수리 산54-3"
"20084120","석산","36-09-50","128-49-46","기타","경상북도 군위군","고로면 양지리"
"20084130","군위군(읍내리)","36-10-35","128-42-53","환경부","경상북도 군위군","의흥면 읍내리 434-18"
"20084140","의성군(도원리)","36-17-10","128-34-43","환경부","경상북도 의성군","봉양면 도원리 460 (의성IC 진출입로 부지 내)"
"20084150","군위군(무성리)","36-11-38","128-33-51","환경부","경상북도 군위군","군위읍 무성리 821-2"
"20084160","군위군(미성교)","36-10-54","128-40-20","환경부","경상북도 군위군","우보면 이화리 575-9 (미성교)"
"20084170","군위군(군위댐)","36-07-20","128-47-38","한국수자원공사","경상북도 군위군","삼국유사면 학성리 407"
"20084180","군위군(양지리)","36-10-00","128-49-37","한국수자원공사","경상북도 군위군","삼국유사면 양지리 497-5"
"20094010","의성군(낙단교)","36-21-27","128-18-04","환경부","경상북도 의성군","단밀면 낙정리 806 (낙단교)"
"20094020","구미시(일선교)","36-16-23","128-20-34","환경부","경상북도 구미시","도개면 신림리 775 (일선교)"
"20104010","김천시(부곡동)","36-07-13","128-06-32","환경부","경상북도 김천시","부곡동 41-1"
"20104020","김천시(지례면사무소)","35-59-05","128-01-36","환경부","경상북도 김천시","지례면 교리 570-1 (지례면사무소)"
"20104030","김천시(월곡리)","35-59-15","127-57-30","한국수자원공사","경상북도 김천시","부항면 사등리"
"20104040","김천시(파천리)","36-01-25","127-57-20","한국수자원공사","경상북도 김천시","부항면 안간리"
"20104050","구미시(선주교)","36-13-40","128-18-32","환경부","경상북도 구미시","선산읍 화조리 581-6 (선주교)"
"20104060","김천시(김천부항댐)","35-58-56","128-00-21","한국수자원공사","경상북도 김천시","지례면 도곡리 1005-1"
"20114010","칠곡군(호국의다리)","36-00-01","128-23-40","환경부","경상북도 칠곡군","왜관읍 석전리 872 (호국의 다리)"
"20114020","구미시(장천초교)","36-07-50","128-29-44","환경부","경상북도 구미시","장천면 하장리 503-2 (장천초교)"
"20114030","성주군(성주대교)","35-52-51","128-23-25","환경부","경상북도 성주군","선남면 선원리 5-3 (성주대교)"
"20114040","구미시(구미대교)","36-06-39","128-23-48","환경부","경상북도 구미시","임수동 550-1 (구미대교)"
"20124010","영천시(영동교)","35-58-08","128-56-19","환경부","경상북도 영천시","완산동 1269-1(영동교)"
"20124020","포항시(죽장초교)","36-09-37","129-05-28","환경부","경상북도 포항시","북구 죽장면 입암리 730-1 (죽장초교)"
"20124030","영천시(화성리)","36-02-46","128-47-45","환경부","경상북도 영천시","신령면 화성리 131-3"
"20124035","포항시(가사리)","36-11-85","129-09-25","한국수자원공사","경상북도 포항시 북구 죽장면 가사리 387",""
"20124037","포항시(죽장면)","36-11-59","129-04-33","한국수자원공사","경상북도 포항시 북구 죽장면 현내리 552-1",""
"20124040","경산시(자인중학교)","35-49-13","128-49-18","환경부","경상북도 경산시","자인면 북사리 242 (자인중학교)"
"20124050","부산","36-03-00","129-00-00","기타","부산광역시 동구","초량동              부산청"
"20124060","신천","35-47-50","128-37-05","환경부","대구광역시 달성군","가창면 용계리 가창댐사무소"
"20124070","영천시(치산리)","36-03-34","128-43-24","환경부","경상북도 영천시","신령면 치산리 1950"
"20124080","대구시(오리)","35-47-02","128-36-02","환경부","대구광역시 달성군","가창면 오리 산110"
"20124090","대구시(신암동)","35-53-30","128-38-04","환경부","대구광역시 동구","불로동 1107-1 (보성2차APT앞)"
"20124100","영천시(정각리)","36-07-48","128-59-39","환경부","경상북도 영천시","화북면 정각리 336"
"20124118","영천시(영천댐)","36-04-23","129-02-17","한국수자원공사","경상북도 영천시 자양면 성곡리 113-2",""
"20124120","영천시(가수리)","36-00-06","129-04-41","환경부","경상북도 영천시","고경면 가수리 232-14"
"20124130","영천시(금창교)","35-55-50","128-52-32","환경부","경상북도 영천시","금호읍 교대리 661 (금창교)"
"20124150","대구시(성동교)","35-51-07","128-43-25","환경부","대구광역시 수성구","성동 566-1 (성동교)"
"20124160","칠곡군(금암리)","35-58-59","128-33-21","환경부","경상북도 칠곡군","동명면 금암리 225-15"
"20124170","경산시(와촌초교)","35-57-02","128-50-15","환경부","경상북도 경산시","와촌면 동강리 91 (와촌초교)"
"20124190","포항시(지동리)","36-08-13","129-03-58","한국수자원공사","경상북도 포항시 북구 죽장면 지동리 산49-5",""
"20124200","영천시(보현산댐)","36-07-40","128-56-56","한국수자원공사","경상북도 영천시 화북면","입석리 산2-1"
"20124210","영천시(굼이교)","36-08-57","128-55-22","한국수자원공사","경상북도 영천시","화북면 하송리 208-1"
"20134010","고령군(회천교)","35-43-45","128-16-40","환경부","경상북도 고령군","고령읍 장기리 331 (회천교)"
"20134020","합천군(야로면사무소)","35-42-19","128-10-04","환경부","경상남도 합천군","야로면 구정리 290-1 (야로면사무소)"
"20134030","성주군(옥화리)","35-53-37","128-11-18","환경부","경상북도 성주군","대가면 옥화리 358-1"
"20134040","성주군(신파리)","35-48-54","128-10-01","환경부","경상북도 성주군","수륜면 신파리 산78 (국도59호선 일원)"
"20144010","대구시(성하리)","35-42-10","128-26-03","환경부","대구광역시 달성군","현풍면 성하리 274 (현풍휴게소 뒤)"
"20144020","대구시(사문진교)","35-48-44","128-28-27","환경부","대구광역시 달성군","화원면 성산리 744-11 (사문진교)"
"20144030","고령군(고령교)","35-45-10","128-23-13","환경부","경상북도 고령군","성산면 삼대리 112-3 (고령교)"
"20154010","거창군(산포리)","35-49-28","127-55-08","환경부","경상남도 거창군","웅양면 산포리 1928-2"
"20154020","거창군(병곡리)","35-48-10","127-46-55","환경부","경상남도 거창군","북상면 병곡리 663-2"
"20154030","거창군(농산리)","35-46-09","127-48-45","한국수자원공사","경상남도 거창군","북상면 농산리 476-1"
"20154040","거창군(거열교)","35-40-49","127-54-00","한국수자원공사","경상남도 거창군","거창읍 원상동 거창3교"
"20154050","거창군(노현리)","35-48-29","127-54-38","한국수자원공사","경상남도 거창군","웅양면 노현리 975-4"
"20154060","거창군(덕산리)","35-36-00","127-54-57","한국수자원공사","경상남도 거창군","신원면 덕산리 214-1"
"20154070","거창군(우혜리)","35-45-31","127-59-30","한국수자원공사","경상남도 거창군","가북면 우혜리 산245-2"
"20154080","거창군(지산교)","35-39-48","128-00-60","한국수자원공사","경상남도 거창군","가조면 기리 지산교"
"20164020","합천군(남정교)","35-33-27","128-09-42","환경부","경상남도 합천군","대양면 정양리 613 (남정교)"
"20164030","합천군(황강교)","35-34-19","128-17-34","환경부","경상남도 합천군","적중면 죽고리 922-1 (황강교)"
"20174010","창녕군(본초리)","35-31-50","128-27-11","환경부","경상남도 창녕군","대지면 본초리 284-9"
"20174020","의령군(부림면사무소)","35-27-59","128-19-29","환경부","경상남도 의령군","부림면 신반리 545-2 (부림면사무소)"
"20174030","의령군(청계리)","35-28-43","128-14-11","환경부","경상남도 의령군","봉수면 청계리 34-1"
"20174040","합천군(적포교)","35-31-39","128-21-33","환경부","경상남도 합천군","청덕면 앙진리 1 (적포교)"
"20184020","마천2","35-23-40","127-40-00","환경부","경상남도 함양군","마천면 가흥리 마천면사무소"
"20184040","시천","35-16-00","127-50-00","기타","경상남도 산청군","시천면    현리  시천면사무소"
