"obs_id","rel_river","opened_at","first_at","last_at"
"10114060","한강","1983-08-01","19830823","20070514"
"10114070","한강","1987-05-04","19870601","20240722"
"10114080","한강","1987-05-04","19870601","20240722"
"10124020","한강","1962-07-01","19760612","20240722"
"10124050","한강","1972-08-11","19750710","20240722"
"10124060","한강","1972-08-11","19750710","20240722"
"10124080","한강","1972-08-11","19750710","20240722"
"10124090","한강","1972-08-11","19750710","20240722"
"10124110","한강","1983-07-01","19830702","20240722"
"10124120","한강","1983-07-01","19830902","20240722"
"10124130","한강","1987-05-04","19870601","20240722"
"10124140","한강","1987-05-04","19870601","20240722"
"10124150","한강","1992-08-01","19930904","20240722"
"10124160","한강","1992-08-01","19930904","20240722"
"10124170","한강","1998-01-01","19980401","20240722"
"10124175","한강","1991-07-01","20090205","20240722"
"10124180","한강","2015-08-04","20150804","20240722"
"10134010","한강","1913-01-01","19750710","20240722"
"10134020","한강","1982-08-01","19820813","20240722"
"10134030","한강","1989-07-01","19890701","20240722"
"10134032","한강","1986-01-06","20140612","20150713"
"10134045","한강","2013-11-30","20131130","20240722"
"10134140","한강","2006-09-15","20090206","20141014"
"10144010","한강","1916-01-01","19750710","20240722"
"10144020","한강","1960-08-01","19790722","20240722"
"10144030","한강","--","NULL","NULL"
"10144040","한강","1963-05-01","19750710","20240722"
"10144050","한강","1966-09-01","19750710","20240722"
"10144060","한강","1996-12-01","19961201","20240722"
"10144070","한강","1996-12-01","19961201","20240722"
"10144080","한강","1996-12-01","19961201","20240722"
"10144090","한강","1998-03-01","19980301","20240722"
"10144100","한강","1998-03-01","19990227","20240722"
"10144165","한강","1986-01-06","20090205","20240722"
"10144170","한강","2008-09-25","20090205","20141014"
"10144172","한강","2008-09-25","20100929","20240722"
"10144180","한강","2009-10-28","20100919","20240722"
"10154010","한강","1960-07-01","19800711","20240722"
"10154020","한강","1974-07-01","19750710","20240722"
"10154030","한강","1996-12-01","19961201","20240722"
"10154032","한강","1986-01-06","20140612","20150713"
"10154035","한강","2007-12-27","20130924","20240722"
"10164010","한강","1916-01-01","19800601","20240722"
"10164020","한강","1962-07-01","19800606","20240722"
"10164030","한강","1967-01-01","19800926","20240722"
"10164040","한강","1967-01-01","19790729","20240722"
"10164050","한강","1967-01-01","19790603","20240722"
"10164060","한강","1967-01-01","19820601","20240722"
"10164070","한강","1974-07-04","19750710","20240722"
"10164075","한강","2014-06-01","20140601","20240722"
"10164080","한강","1989-07-01","19890701","20240722"
"10174020","한강","1962-07-01","19870601","20240722"
"10184010","한강","1916-01-01","19750710","20240722"
"10184020","한강","1962-05-01","19800601","20240722"
"10184030","한강","2009-10-08","NULL","NULL"
"10184040","한강","1962-07-01","19750710","20240722"
"10184050","한강","1917-01-01","19750710","19950830"
"10184060","한강","1966-09-01","19800602","20240722"
"10184070","한강","2003-10-01","NULL","NULL"
"10184080","한강","1984-04-01","19840703","20240722"
"10184090","한강","1984-04-01","19840703","20240722"
"10184100","한강","1984-04-01","19840703","20240722"
"10184110","한강","1984-04-01","19840703","20240722"
"10184120","한강","1984-04-01","19840703","20240722"
"10184125","한강","2002-10-16","20021017","20240722"
"10184130","한강","2002-02-01","20021017","20240722"
"10184140","한강","2002-03-01","20021017","20240722"
"10184150","한강","2002-10-01","20021017","20240722"
"10184160","한강","2002-10-01","20021017","20240722"
"10184170","한강","2002-10-01","20021017","20240722"
"10184180","한강","2002-10-01","20021017","20240722"
"10184190","한강","2002-10-01","20021017","20240722"
"10184200","한강","2002-10-01","20021017","20240722"
"10184210","한강","2002-10-01","20021017","20240722"
"10184220","한강","2002-10-01","20021017","20240722"
"10184230","한강","2002-10-16","20021017","20240722"
"10184232","한강","1986-01-06","20140612","20150713"
"10194010","한강","1962-07-01","19800601","20240722"
"10194020","한강","2011-12-01","20150804","20240722"
"10194030","한강","2011-12-01","20150804","20240722"
"10204010","한강","2001-10-06","20011006","20240722"
"10204020","한강","2001-10-06","20011006","20240722"
"10214010","한강","2000-07-01","20000701","20240722"
"10214020","한강","2011-07-01","20150804","20240722"
"10214030","한강","2011-07-01","20150804","20240722"
"10224010","한강","2000-07-01","20000701","20240722"
"10224020","한강","2000-07-01","20000701","20240722"
"10224030","한강","2000-07-01","20000701","20240722"
"10224040","한강","2001-10-06","20011006","20240722"
"10224050","한강","2001-10-06","20011006","20240722"
"10224060","한강","2001-10-06","20011006","20240722"
"10224070","한강","2001-10-06","20011006","20240722"
"10224080","한강","2001-10-06","20011006","20240722"
"10224090","한강","2001-10-06","20011006","20240722"
"10224100","한강","2001-10-06","20011006","20240722"
"10234010","한강","2000-07-01","20000701","20240722"
"10234020","한강","2001-10-06","20011006","20240722"
"10234030","한강","2001-10-06","20011006","20240722"
"10234040","한강","2001-10-06","20011006","20240722"
"11014010","안성천","1919-07-01","19800601","20240722"
"11014020","안성천","1927-01-01","19800604","20240722"
"11014030","안성천","1962-07-01","19810604","20240722"
"11014040","안성천","1968-07-01","19810608","20240722"
"11014050","안성천","1968-07-01","19800604","20240722"
"11014060","안성천","1996-09-01","19960902","20240722"
"11014070","안성천","1996-09-01","19960902","20240722"
"11014080","안성천","1996-09-01","19960902","20240722"
"11014090","안성천","1996-09-01","19960902","20240722"
"11014100","안성천","1996-09-01","19960902","20240722"
"11014110","안성천","1996-09-01","19960902","20240722"
"11014120","안성천","1996-09-01","19960902","20240722"
"11014130","안성천","1996-09-01","19960902","20240722"
"11014140","한강","2000-07-01","20000701","20240722"
"12014010","한강서해","2011-12-01","20150804","20240722"
"12024010","한강서해","1978-01-01","19790823","20240722"
"12024020","한강서해","1978-01-01","19790713","20240722"
"13014010","한강동해","1983-07-01","19830701","20240722"
"13014020","한강","1983-08-01","19830808","20240722"
"13024010","한강동해","1983-07-01","19830701","20240722"
"13024030","한강동해","--","NULL","NULL"
"13034010","한강동해","1983-07-01","19830701","20240722"
"20014005","낙동강","1916-08-02","19830620","19870907"
"20014010","낙동강","1962-11-01","19800625","20240722"
"20014020","낙동강","1968-01-01","19800710","20240722"
"20014030","낙동강","1968-03-01","19800601","20240722"
"20014040","낙동강","1968-01-01","19800616","20240722"
"20014050","낙동강","1968-01-01","19800625","20240722"
"20014060","낙동강","1968-01-01","19800630","20240722"
"20014070","낙동강","1968-01-01","19820821","20240722"
"20014080","낙동강","1968-01-01","19830620","20240722"
"20014090","낙동강","1968-01-01","19800711","20240722"
"20014100","낙동강","1968-01-01","NULL","NULL"
"20014110","낙동강","1978-07-16","19840703","20240722"
"20014120","낙동강","1978-07-16","19840703","20240722"
"20014130","낙동강","1978-07-16","19870601","20240722"
"20014140","낙동강","2009-09-17","20090917","20240722"
"20014150","낙동강","1978-07-16","19840703","19950828"
"20014160","낙동강","1983-07-01","19830808","20240722"
"20014170","낙동강","1995-05-28","19950528","20240722"
"20014180","낙동강","1995-05-28","19950528","20240722"
"20014190","낙동강","1995-05-28","19950528","20240722"
"20014200","낙동강","1995-05-28","19950528","20240722"
"20014210","낙동강","1995-05-28","19950528","20240722"
"20014230","낙동강","2002-01-01","20020319","20240722"
"20024020","낙동강","1916-11-01","19800617","20240722"
"20024030","낙동강","1961-08-01","19800625","20240722"
