"obs_id","rel_river","opened_at","first_at","last_at"
"30124010","금강","1913-07-01","19800630","20240722"
"30124020","금강","1916-11-01","19800616","20240722"
"30124030","금강","1928-07-01","NULL","NULL"
"30124040","금강","1929-09-01","19810619","20240722"
"30124050","금강","1960-06-01","19820630","20240722"
"30124060","금강","1960-06-01","19810609","20240722"
"30124070","금강","1960-06-01","19800825","20240722"
"30124080","금강","1973-01-01","19810711","20240722"
"30124090","금강","1993-06-01","19930601","20240722"
"30124100","금강","1993-06-01","19930601","20240722"
"30124110","금강","2006-01-01","20060101","20240722"
"30124120","금강","2015-01-01","NULL","NULL"
"30134010","금강","1960-07-01","19810619","20240722"
"30134020","금강","1973-06-01","19800601","20240722"
"30134030","금강","--","NULL","NULL"
"30134040","금강","1993-06-01","19930601","20240722"
"30134050","금강","2006-01-01","20060101","20240722"
"30144010","금강","1911-06-01","19820725","20240722"
"30144020","금강","1962-06-01","19820725","20240722"
"30144030","금강","1993-06-01","19930601","20240722"
"30144040","금강","1993-06-01","19930601","20240722"
"30144050","금강","1993-06-01","19930601","20240722"
"31014010","삽교천","1918-07-01","19690715","20240722"
"31014020","삽교천","1933-09-01","19790603","20240722"
"31014030","삽교천","1957-03-01","19820711","20240722"
"31014040","삽교천","1979-01-01","NULL","NULL"
"31014050","삽교천","1962-07-01","NULL","NULL"
"31014060","삽교천","2002-01-01","NULL","NULL"
"31014070","삽교천","1993-01-01","NULL","NULL"
"31014090","삽교천","1999-01-01","19990101","20240722"
"31014100","삽교천","1999-01-01","19990101","20240722"
"31014110","삽교천","1999-01-01","19990101","20240722"
"31014120","삽교천","1999-01-01","19990101","20240722"
"31014130","삽교천","1999-01-01","19990101","20240722"
"31014140","삽교천","2004-12-01","20041202","20240722"
"31014150","삽교천","2005-01-01","20050101","20240722"
"31014160","삽교천","1900-01-01","20010514","20091231"
"31014170","삽교천","2002-12-20","20021220","20240722"
"31014180","삽교천","--","NULL","NULL"
"31014190","삽교천","--","NULL","NULL"
"31014192","삽교천","2010-01-01","20100101","20240722"
"31014195","삽교천","2018-11-01","NULL","NULL"
"31014198","삽교천","2019-08-01","NULL","NULL"
"32034010","금강서해","1968-07-01","19810619","20240722"
"32034020","금강서해","1973-01-01","19760607","20240722"
"32034050","금강서해","1998-03-26","20040703","20240722"
"32034060","금강서해","1998-03-26","20040703","20240722"
"32034070","금강서해","2005-10-27","NULL","NULL"
"33014010","만경ㆍ동진","1916-01-01","19800812","20240722"
"33014020","만경ㆍ동진","1962-07-01","19800608","20240722"
"33014030","만경ㆍ동진","1988-03-01","NULL","NULL"
"33014040","만경ㆍ동진","1988-03-01","NULL","NULL"
"33014050","만경ㆍ동진","1988-03-01","NULL","NULL"
"33014060","만경ㆍ동진","1916-06-01","20100923","20100923"
"33014070","만경ㆍ동진","1997-01-01","19990801","20240722"
"33014080","만경ㆍ동진","1999-12-01","20000101","20240722"
"33014090","만경ㆍ동진","1999-12-01","20000101","20240722"
"33014100","만경ㆍ동진","2000-01-01","20000101","20240722"
"33014110","만경ㆍ동진","2000-01-01","20000101","20240722"
"33014120","만경ㆍ동진","1999-12-01","20000101","20240722"
"33024020","만경ㆍ동진","1962-07-01","19800601","20240722"
"33024030","만경ㆍ동진","1962-08-01","19790603","20240722"
"33024040","만경ㆍ동진","1962-11-01","19730626","20240722"
"33024050","만경ㆍ동진","1968-01-01","19740604","20240722"
"33024070","만경ㆍ동진","2000-06-01","20000601","20240722"
"33024080","만경ㆍ동진","2000-06-01","20000601","20240722"
"33034030","만경ㆍ동진","1996-05-01","20060503","20240722"
"33034040","만경ㆍ동진","2014-10-19","20150714","20240722"
"40014030","섬진강","1992-04-01","NULL","NULL"
"40014050","섬진강","1990-12-15","19901215","20240722"
"40014060","섬진강","1990-12-15","19901215","20240722"
"40014070","섬진강","1990-12-15","19901215","20240722"
"40024010","섬진강","1900-01-01","19800625","19940901"
"40024020","섬진강","1990-12-15","19901215","20240722"
"40024030","섬진강","1962-06-01","20040917","20240722"
"40024040","섬진강","2004-09-18","20040918","20190503"
"40024050","섬진강","1970-10-01","20040917","20240722"
"40024060","섬진강","2018-12-26","20181226","20240722"
"40034010","섬진강","1990-03-12","19900621","20240722"
"40034020","섬진강","1970-01-01","19970313","20240722"
"40034030","섬진강","2003-10-01","20031101","20240722"
"40044010","섬진강","1990-03-12","19900703","20240722"
"40044020","섬진강","1900-01-01","19900711","20050623"
"40044030","섬진강","2003-10-01","20031001","20240722"
"40044040","섬진강","1990-03-12","20000101","20240722"
"40044060","섬진강","1962-07-01","20040917","20240722"
"40044070","섬진강","2016-01-01","20160101","20240722"
"40054020","섬진강","1990-03-12","19900621","20240722"
"40054030","섬진강","1990-03-12","19900621","20240722"
"40054040","섬진강","2001-09-06","20010906","20240722"
"40064010","섬진강","1990-03-12","19900621","20240722"
"40074020","섬진강","1900-01-01","19810619","19941101"
"40074030","만경ㆍ동진","1900-01-01","19800624","19941107"
"40074040","섬진강","2006-09-15","20060915","20240722"
"40074050","섬진강","1991-07-01","19910701","20240722"
"40074060","섬진강","1991-07-01","19910701","20240722"
"40074070","섬진강","1991-07-01","19910701","20240722"
"40074080","섬진강","1991-07-01","19910701","20240722"
"40074082","섬진강","2006-09-15","20070119","20240722"
"40074090","섬진강","2007-01-01","20070507","20150716"
"40074092","섬진강","1986-01-06","20231114","20240722"
"40074126","섬진강","1992-04-01","20090205","20100930"
"40074127","섬진강","1997-01-01","NULL","NULL"
"40074140","섬진강","2009-10-28","20091105","20240722"
"40074143","만경ㆍ동진","2019-05-03","20190503","20240722"
"40074145","섬진강","2019-12-20","NULL","NULL"
"40074146","섬진강","2020-06-04","NULL","NULL"
"40074147","섬진강","2020-06-04","NULL","NULL"
"40084010","섬진강","1996-03-01","19970313","20240722"
"40084020","섬진강","2003-10-01","20031101","20240722"
"40094010","섬진강","1915-07-01","19800625","20030101"
"40094030","섬진강","1982-04-01","19830714","20061231"
"40094040","섬진강","1984-04-28","19840828","19941201"
"40094050","섬진강","1984-04-28","19840905","20240722"
"40094060","섬진강","1990-03-12","19900621","20240722"
"40094070","섬진강","1990-03-12","19900621","20240722"
"40094080","섬진강","1990-03-12","19900627","20240722"
"40094090","섬진강","1990-03-12","19900621","20240722"
"40094100","섬진강","1990-03-12","19900621","20240722"
"40094110","섬진강","1917-03-01","20040421","20240722"
"40094120","섬진강","2005-01-21","20050121","20240722"
"40094140","섬진강","2007-01-01","20070101","20240722"
"40094150","섬진강","2007-01-01","20070101","20240722"
"40094160","섬진강","2007-01-01","20070101","20240722"
"40094170","섬진강","2004-09-18","20040918","20240722"
"41044020","섬진강남해","1991-07-01","19910701","20240722"
"41044030","섬진강남해","1999-05-21","20000101","20240722"
"41044040","섬진강남해","1914-06-01","20070101","20240722"
"41054030","섬진강남해","2005-01-01","20060508","20240722"
"41054050","섬진강남해","2009-09-17","20091013","20240722"
"50014010","영산강","2000-03-15","NULL","NULL"
"50014020","영산강","1992-04-01","19920401","20240722"
"50014030","영산강","1992-04-01","19920401","20240722"
"50014040","영산강","1992-04-01","19920401","20240722"
"50014050","영산강","1992-04-01","19920401","20240722"
"50014060","영산강","2003-08-26","20030826","20240722"
"50014070","영산강","2012-06-22","20161021","20240722"
"50024010","영산강","2000-03-15","NULL","NULL"
"50024020","영산강","1962-07-01","19800625","20240722"
"50024030","영산강","1992-04-01","19920401","20240722"
"50024040","영산강","2016-01-01","20160101","20240722"
"50024050","영산강","2008-02-01","20080201","20240722"
"50024051","영산강","2015-09-01","20181213","20240722"
"50034030","영산강","1992-04-01","19920401","20240722"
"50034040","영산강","1962-07-01","19800623","20240722"
"50034050","영산강","2002-01-01","20020618","20240722"
"50034060","영산강","2002-01-01","20020618","20240722"
"50034070","영산강","2002-01-01","20021224","20240722"
"50034080","영산강","2012-07-02","20150722","20240722"
"50044010","영산강","2000-06-01","NULL","NULL"
"50044020","영산강","2000-06-01","NULL","NULL"
"50044030","영산강","1992-04-01","19920401","20240722"
"50044040","영산강","1992-04-01","19920401","20240722"
"50054010","영산강","1961-08-01","19910701","20240722"
"50054020","영산강","2004-12-10","20041210","20240722"
"50064020","영산강","1992-04-01","19920401","20240722"
"50074010","영산강","1992-04-01","19920401","20240722"
"50074020","영산강","2017-12-26","20171226","20240722"
"50084010","영산강","1992-04-01","19920401","20240722"
"51014020","탐진강","1997-01-01","20000522","20240722"
"51014030","탐진강","1997-01-01","20000522","20240722"
"51014040","탐진강","2007-08-15","20070815","20240722"
"51014050","탐진강","2000-03-15","20000522","20240722"
"51014060","탐진강","2000-03-15","20001230","20240722"
"51014070","탐진강","2000-06-01","20100923","20100923"
"51014080","탐진강","2000-06-01","20000601","20240722"
"51014090","탐진강","2000-06-01","20000601","20240722"
"51014100","탐진강","2000-06-01","20000601","20240722"
"51014150","탐진강","2008-01-02","20100923","20100923"
"53024010","영산강서해","1992-04-01","NULL","NULL"
"99999999","영산강","2008-02-01","20080201","20191030"
