"obs_id","river","rel_river","opened_at","first_at","last_at"
"1002698","평창강","한강","2007-07-18","2007033013:00:00","2024072415:00:00"
"1003605","옥동천","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1003620","옥동천","한강","2000-03-01","2002072208:00:00","2024072415:00:00"
"1003630","한강","한강","1985-08-30","1984070301:00:00","2024072415:00:00"
"1003632","NULL","한강","2020-12-31","NULL","NULL"
"1003635","NULL","한강","2007-12-01","2015080415:00:00","2018061111:00:00"
"1003636","NULL","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1003640","한강","한강","1966-11-01","NULL","NULL"
"1003642","한강","한강","2010-11-11","2010122112:00:00","2024072415:00:00"
"1003644","NULL","한강","2007-12-01","2015080415:00:00","2024072415:00:00"
"1003645","죽령천","한강","2016-11-07","2009102700:00:00","2024072415:00:00"
"1003646","NULL","한강","2007-12-01","2015080415:00:00","2024072415:00:00"
"1003650","한강","한강","1917-06-01","1917070405:00:00","1983080221:00:00"
"1003655","한강","한강","1992-06-18","1987060115:00:00","2024072415:00:00"
"1003657","장평천","한강","2022-04-01","2022040101:00:00","2024072415:00:00"
"1003658","원서천","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1003660","제천천","한강","2014-12-29","2014122912:00:00","2024072415:00:00"
"1003661","제천천","한강","2015-12-30","2015123010:00:00","2024072415:00:00"
"1003662","NULL","한강","2005-07-01","2015080415:00:00","2024072415:00:00"
"1003664","한강","한강","1985-08-30","2008020411:00:00","2024072415:00:00"
"1003665","한강","한강","1985-08-30","1923091109:00:00","2015071515:00:00"
"1003666","한강","한강","1985-08-30","1985081500:00:00","2015071515:00:00"
"1003668","한강","한강","2001-09-10","2015070913:00:00","2015091118:00:00"
"1003670","한강","한강","1966-11-01","1918070923:00:00","1981090416:00:00"
"1003680","한강","한강","1917-06-01","NULL","NULL"
"1004616","감천","한강","2023-01-27","2023012716:00:00","2024072415:00:00"
"1004620","달천","한강","2014-12-29","2014122912:00:00","2024072415:00:00"
"1004630","달천","한강","2013-11-30","2013113000:00:00","2024072415:00:00"
"1004635","NULL","한강","2009-06-01","2010092914:00:00","2024072415:00:00"
"1004643","NULL","한강","1986-01-06","2014061216:00:00","2015071309:00:00"
"1004645","달천","한강","1998-01-01","1999060101:00:00","2024072415:00:00"
"1004646","쌍천","한강","2011-12-14","2011121417:00:00","2024072415:00:00"
"1004653","NULL","한강","2013-01-10","2020031311:00:00","2024072415:00:00"
"1004661","동진천","한강","2022-04-01","2022040101:00:00","2024072415:00:00"
"1004670","음성천","한강","2013-12-31","2013122711:00:00","2024072415:00:00"
"1004680","석문동천","한강","2014-12-29","2014122912:00:00","2024072415:00:00"
"1004685","NULL","한강","2011-12-01","2015080415:00:00","2024072415:00:00"
"1004688","NULL","한강","2005-01-03","NULL","NULL"
"1004690","달천","한강","1985-08-30","1984070301:00:00","2023082514:00:00"
"1004692","NULL","한강","2012-11-23","2017042016:00:00","2024072415:00:00"
"1004693","달천","한강","2011-12-14","2011121416:00:00","2024072415:00:00"
"1004695","요도천","한강","2013-12-31","2013122711:00:00","2024072415:00:00"
"1005605","달천","한강","2006-10-23","2006120100:00:00","2024072415:00:00"
"1005620","한강","한강","1985-08-30","2009110214:00:00","2015071515:00:00"
"1005635","한강","한강","1985-08-30","1985081500:00:00","2015071515:00:00"
"1005640","한강","한강","1917-01-01","1917070403:00:00","2024072415:00:00"
"1005695","법천천","한강","2006-10-23","2006120100:00:00","2024072415:00:00"
"1005697","한강","한강","2010-11-11","2010122112:00:00","2024072415:00:00"
"1006610","계천","한강","1999-06-22","2001102218:00:00","2024072415:00:00"
"1006612","NULL","한강","2018-11-21","NULL","NULL"
"1006615","계천","한강","1991-10-01","2001102218:00:00","2015071515:00:00"
"1006630","금계천","한강","2014-12-29","2014122912:00:00","2024072415:00:00"
"1006650","섬강","한강","1962-07-01","1972081823:00:00","2024072415:00:00"
"1006660","전천","한강","2006-10-23","2006120219:00:00","2024072415:00:00"
"1006665","NULL","한강","1962-07-01","1976081315:00:00","2024072415:00:00"
"1006666","NULL","한강","2024-01-16","2024011611:00:00","2024072415:00:00"
"1006667","NULL","한강","2015-08-04","2015080415:00:00","2017073116:00:00"
"1006670","섬강","한강","2012-10-15","2012092118:00:00","2024072415:00:00"
"1006672","섬강","한강","2007-07-18","2007051416:00:00","2024072415:00:00"
"1006680","섬강","한강","1962-07-01","1964041910:00:00","2024072415:00:00"
"1006685","서곡천","한강","2023-01-27","2023012716:00:00","2024072415:00:00"
"1006690","섬강","한강","1980-06-01","1983072004:00:00","2024072415:00:00"
"1006693","NULL","한강","2012-03-06","2020031311:00:00","2024072415:00:00"
"1006694","NULL","한강","2012-03-07","2020031311:00:00","2024072415:00:00"
"1007604","청미천","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1007605","청미천","한강","2006-10-23","2006120100:00:00","2024072415:00:00"
"1007610","응천","한강","2007-12-08","2008012317:00:00","2024072415:00:00"
"1007615","청미천","한강","1985-01-01","1984070301:00:00","2024072415:00:00"
"1007617","청미천","한강","2007-12-07","2008012317:00:00","2024072415:00:00"
"1007620","한강","한강","1996-09-01","1994121413:00:00","2024072415:00:00"
"1007625","한강","한강","2001-04-19","2000101700:00:00","2024072415:00:00"
"1007630","NULL","한강","2007-12-22","2010092914:00:00","2014101409:00:00"
"1007633","한강","한강","2011-12-01","2011120100:00:00","2024072415:00:00"
"1007634","한강","한강","2011-12-01","2011120100:00:00","2024072415:00:00"
"1007635","한강","한강","1913-03-01","1917070413:00:00","2024072415:00:00"
"1007639","한강","한강","2012-02-22","2012022211:00:00","2024072415:00:00"
"1007640","양화천","한강","2006-10-23","2006120100:00:00","2024072415:00:00"
"1007641","한강","한강","2012-02-22","2012022211:00:00","2024072415:00:00"
"1007642","복하천","한강","2022-04-01","2022040101:00:00","2024072415:00:00"
"1007645","복하천","한강","1988-04-01","1989092001:00:00","2024072415:00:00"
"1007649","NULL","한강","2007-12-22","2009020418:00:00","2014101409:00:00"
"1007650","복하천","한강","2001-04-20","2000101700:00:00","2024072415:00:00"
"1007653","NULL","한강","2011-11-23","2020031311:00:00","2024072415:00:00"
"1007655","곡수천","한강","2006-10-23","2006120100:00:00","2024072415:00:00"
"1007656","NULL","한강","2012-10-26","NULL","NULL"
"1007660","한강","한강","2001-05-29","2000101700:00:00","2017071910:00:00"
"1007662","한강","한강","2012-04-04","2013100114:00:00","2024072415:00:00"
"1007664","한강","한강","2012-04-04","2013100114:00:00","2024072415:00:00"
"1007672","NULL","한강","2003-06-13","2020031311:00:00","2024072415:00:00"
"1007680","흑천","한강","1988-04-01","1989031501:00:00","2024072415:00:00"
"1007685","한강","한강","1953-11-01","1959070614:00:00","2024072415:00:00"
"1007690","흑천","한강","2013-12-31","2013122711:00:00","2024072415:00:00"
"1007697","한강","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1009650","북한강","한강","1998-10-10","1999072111:00:00","2015071515:00:00"
"1009652","북한강","한강","2010-08-19","2010122217:00:00","2024072415:00:00"
"1010630","서천","한강","2013-11-30","2013113000:00:00","2024072415:00:00"
"1010633","양구서천","한강","2022-04-01","2022040101:00:00","2024072415:00:00"
"1010635","NULL","한강","2007-12-22","2009020418:00:00","2024072415:00:00"
"1010640","수입천","한강","1998-09-12","1999072111:00:00","2024072415:00:00"
"1010642","NULL","한강","2007-12-22","2009020418:00:00","2024072415:00:00"
"1010660","북한강","한강","1974-07-04","1975071004:00:00","2024072415:00:00"
"1010661","NULL","한강","1986-01-06","2014061216:00:00","2015071309:00:00"
"1010670","북한강","한강","2002-10-01","2002042200:00:00","2024072415:00:00"
"1010673","파포천","한강","2023-01-27","2023012716:00:00","2024072415:00:00"
"1010674","화천천","한강","2024-01-16","2024011611:00:00","2024072415:00:00"
"1010675","북한강","한강","1956-10-01","NULL","NULL"
"1010677","NULL","한강","2007-12-22","2009020418:00:00","2024072415:00:00"
"1010680","북한강","한강","2002-10-01","2002042200:00:00","2024072415:00:00"
"1010684","NULL","한강","2007-12-22","2009020418:00:00","2024072415:00:00"
"1010688","NULL","한강","1986-01-06","2014061216:00:00","2015071309:00:00"
"1010690","북한강","한강","1974-07-04","1975071004:00:00","2024072415:00:00"
"1010695","북한강","한강","1962-07-01","1963071307:00:00","2024072415:00:00"
"1011620","인북천","한강","2014-12-29","2014122912:00:00","2024072415:00:00"
"1011650","북천","한강","2000-04-24","2001102218:00:00","2024072415:00:00"
"1011690","인북천","한강","1972-08-11","1975071004:00:00","2024072415:00:00"
"1011693","NULL","한강","2011-06-05","2019022115:00:00","2024072415:00:00"
"1011695","인북천","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1012630","내린천","한강","2007-07-18","2007051416:00:00","2024072415:00:00"
"1012635","방내천","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1012640","방태천","한강","2012-10-15","2012092118:00:00","2024072415:00:00"
"1012645","소양강","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1012650","소양강","한강","2002-11-05","1975071004:00:00","2024072415:00:00"
"1012657","NULL","한강","2017-05-16","NULL","NULL"
"1012660","소양강","한강","1917-07-01","NULL","NULL"
"1012665","소양강","한강","1967-11-01","NULL","NULL"
"1012670","소양강","한강","2014-06-01","1987060115:00:00","2024072415:00:00"
"1012680","소양강","한강","1972-08-11","1975071004:00:00","2015071515:00:00"
"1012682","소양강","한강","1972-08-11","NULL","NULL"
"1012685","소양강","한강","1962-07-01","1999022711:00:00","2024072415:00:00"
"1012688","NULL","한강","2009-08-01","2015080415:00:00","2024072415:00:00"
"1012690","NULL","한강","1962-07-30","1964070905:00:00","1989112914:00:00"
"1012695","북한강","한강","1974-07-04","1975071004:00:00","1993082400:00:00"
"1013610","공지천","한강","2023-01-27","2023012716:00:00","2024072415:00:00"
"1013620","가평천","한강","2013-11-30","2013113000:00:00","2024072415:00:00"
"1013635","NULL","한강","1986-01-06","2014061216:00:00","2015071309:00:00"
"1013637","북한강","한강","1914-10-01","1925071014:00:00","2024072415:00:00"
"1013645","북한강","한강","1992-09-01","1992060101:00:00","2024072415:00:00"
"1013650","가평천","한강","2024-01-16","2024011611:00:00","2024072415:00:00"
"1013652","NULL","한강","2007-12-22","2009020418:00:00","2014101409:00:00"
"1013655","가평천","한강","1915-01-01","1923072912:00:00","2024072415:00:00"
"1014620","내촌천","한강","2009-10-27","2009102700:00:00","2024072415:00:00"
"1014630","홍천강","한강","1989-01-01","1989031401:00:00","2024072415:00:00"
"1014635","NULL","한강","2007-12-22","2010091900:00:00","2024072415:00:00"
"1014640","홍천강","한강","2007-07-18","2007051416:00:00","2024072415:00:00"
"1014645","덕치천","한강","2024-01-16","2024011611:00:00","2024072415:00:00"
"1014648","NULL","한강","2007-12-22","2009020418:00:00","2014101409:00:00"
"1014650","NULL","한강","1962-07-01","1965072107:00:00","2024072415:00:00"
"1014665","홍천강","한강","2015-12-29","2015123010:00:00","2024072415:00:00"
"1014680","홍천강","한강","1982-05-05","1982060101:00:00","2024072415:00:00"
"1014695","NULL","한강","2007-12-22","2009020418:00:00","2024072415:00:00"
"1014696","중방대천","한강","2011-12-14","2011121417:00:00","2024072415:00:00"
"1015620","조종천","한강","2023-01-27","2023012716:00:00","2024072415:00:00"
"1015630","조종천","한강","2007-12-27","2013092410:00:00","2024072415:00:00"
"1015639","NULL","한강","1986-01-06","2014061216:00:00","2015071309:00:00"
"1015640","북한강","한강","1974-07-04","1975071004:00:00","2024072415:00:00"
"1015644","조종천","한강","2006-10-23","2006120100:00:00","2024072415:00:00"
"1015645","북한강","한강","1914-01-01","1917090312:00:00","2024072415:00:00"
"1015655","구운천","한강","2024-01-16","2024011611:00:00","2024072415:00:00"
"1015680","북한강","한강","2013-01-03","2013010312:00:00","2024072415:00:00"
"1016607","한강","한강","2012-10-15","2012092118:00:00","2024072415:00:00"
"1016650","경안천","한강","1985-01-01","1984090814:00:00","2024072415:00:00"
"1016655","경안천","한강","2007-12-27","2013092410:00:00","2024072415:00:00"
"1016660","곤지암천","한강","2000-03-01","2002062508:00:00","2024072415:00:00"
"1016670","경안천","한강","2013-12-31","2013122711:00:00","2024072415:00:00"
"1016695","경안천","한강","2006-10-23","2006120219:00:00","2024072415:00:00"
"1017678","NULL","한강","1986-01-06","2014061216:00:00","2015071309:00:00"
"1017690","한강","한강","1974-07-04","1975071004:00:00","2024072415:00:00"
"1018605","한강","한강","1917-01-01","1954072211:00:00","2002011415:00:00"
"1018610","한강","한강","1995-08-01","1994121413:00:00","2024072415:00:00"
"1018611","한강","한강","1995-08-30","1963062210:00:00","2007050411:00:00"
"1018620","왕숙천","한강","2002-10-16","2002101700:00:00","2024072415:00:00"
"1018623","진건천","한강","2002-10-16","2002101700:00:00","2024072415:00:00"
"1018625","왕숙천","한강","2002-10-16","2002101700:00:00","2024072415:00:00"
"1018628","창릉천","한강","1916-08-01","NULL","NULL"
"1018630","왕숙천","한강","1984-04-01","1984070301:00:00","2024072415:00:00"
"1018635","용암천","한강","2002-10-16","2002101700:00:00","2024072415:00:00"
"1018638","왕숙천","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1018640","한강","한강","1962-02-01","1963071710:00:00","2024072415:00:00"
"1018645","한강","한강","1992-07-19","1990061709:00:00","2007051117:00:00"
"1018650","탄천","한강","2002-10-16","2002101700:00:00","2024072415:00:00"
"1018655","탄천","한강","1984-04-01","1984070301:00:00","2024072415:00:00"
"1018658","양재천","한강","2015-12-30","2015123010:00:00","2024072415:00:00"
"1018660","한강","한강","1916-09-01","1989032101:00:00","1993100100:00:00"
"1018662","한강","한강","2000-03-01","2000101700:00:00","2024072415:00:00"
"1018664","NULL","한강","1916-09-30","1919070604:00:00","1971081300:00:00"
"1018665","중랑천","한강","2002-10-16","2002101700:00:00","2024072415:00:00"
"1018669","중랑천","한강","2015-12-30","2015123010:00:00","2024072415:00:00"
"1018670","우이천","한강","2002-10-16","2002101700:00:00","2024072415:00:00"
"1018675","중랑천","한강","1990-11-01","1991050217:00:00","2024072415:00:00"
"1018680","한강","한강","1984-06-23","1984070301:00:00","2024072415:00:00"
"1018683","한강","한강","1918-08-01","1918081606:00:00","2024072415:00:00"
"1018685","한강","한강","2007-01-00","NULL","NULL"
"1018690","안양천","한강","1984-04-01","1984070308:00:00","2024072415:00:00"
"1018692","도림천","한강","2023-06-29","2023062917:00:00","2024072415:00:00"
"1018693","안양천","한강","2002-10-16","2002101700:00:00","2024072415:00:00"
"1018695","NULL","한강","2002-10-16","2002101700:00:00","2024072415:00:00"
"1018697","안양천","한강","2002-10-16","2002020108:00:00","2024072415:00:00"
"1018698","도림천","한강","2023-04-01","2023040101:00:00","2024072415:00:00"
"1019612","굴포천","한강","2024-06-26","2024062711:00:00","2024072415:00:00"
"1019620","굴포천","한강","2013-12-31","2013122711:00:00","2024072415:00:00"
"1019630","한강","한강","1916-08-01","1917090319:00:00","2024072415:00:00"
"1019635","NULL","한강","2011-12-01","2015080512:00:00","2024072415:00:00"
"1019636","NULL","한강","2011-12-01","2015080512:00:00","2024072415:00:00"
"1019637","NULL","한강","2011-12-01","2015080512:00:00","2024072415:00:00"
"1019647","NULL","한강","2011-12-01","2015080516:00:00","2021011915:00:00"
"1019648","NULL","한강","2011-12-01","2015080516:00:00","2024072415:00:00"
"1019651","NULL","한강","2011-12-01","2015080516:00:00","2024072415:00:00"
"1019652","NULL","한강","2011-12-01","2015080516:00:00","2024072415:00:00"
"1019653","NULL","한강","2015-08-05","2015080516:00:00","2024072415:00:00"
"1019657","굴포천","한강","2024-06-26","2024062711:00:00","2024072415:00:00"
"1019667","곡릉천","한강","2022-04-01","2022040101:00:00","2024072415:00:00"
"1019675","한강","한강","1956-01-01","1965071607:00:00","2024072415:00:00"
"1019680","곡릉천","한강","2015-12-30","2015123010:00:00","2024072415:00:00"
"1021628","NULL","한강","2022-07-29","2022081916:00:00","2024072415:00:00"
"1021630","NULL","한강","2021-06-30","2021063000:00:00","2024072415:00:00"
"1021650","임진강","한강","2002-10-01","2002042200:00:00","2024072415:00:00"
"1021660","임진강","한강","2010-08-11","2013071511:00:00","2015071515:00:00"
"1021680","임진강","한강","1989-06-01","1999030504:00:00","2024072415:00:00"
"1022626","김화 남대천","한강","2011-12-14","2011121416:00:00","2024072415:00:00"
"1022630","한탄강","한강","2001-10-06","2001070916:00:00","2023032011:00:00"
"1022631","NULL","한강","2007-10-11","2018040310:00:00","2024072415:00:00"
"1022635","한탄강","한강","2015-12-29","2015123010:00:00","2024072415:00:00"
"1022638","한탄강","한강","2016-06-01","2019031316:00:00","2024072415:00:00"
"1022640","한탄강","한강","1996-06-01","1999030504:00:00","2024072415:00:00"
"1022642","한탄강","한강","2016-06-01","2019031316:00:00","2024072415:00:00"
"1022643","한탄강","한강","2016-06-01","2019031316:00:00","2024072415:00:00"
"1022644","한탄강","한강","2016-06-01","NULL","NULL"
"1022645","한탄강","한강","2016-07-01","2019031316:00:00","2024072415:00:00"
"1022646","영평천","한강","2023-01-01","2023012716:00:00","2024072415:00:00"
"1022647","포천천","한강","2023-01-27","2023012716:00:00","2024072415:00:00"
"1022648","포천천","한강","2008-11-03","2008103100:00:00","2024072415:00:00"
"1022650","영평천","한강","1996-06-01","1999030504:00:00","2024072415:00:00"
"1022655","영평천","한강","2006-07-01","2006120100:00:00","2024072415:00:00"
"1022659","NULL","한강","2004-11-01","NULL","NULL"
"1022662","차탄천","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1022664","한탄강","한강","2016-06-01","2019031316:00:00","2024072415:00:00"
"1022665","한탄강","한강","2004-11-01","NULL","NULL"
"1022666","한탄강","한강","2016-06-01","2019031316:00:00","2024072415:00:00"
"1022668","NULL","한강","2016-11-07","2016110901:00:00","2024072415:00:00"
"1022670","NULL","한강","2008-11-03","2008103100:00:00","2024072415:00:00"
"1022680","한탄강","한강","1996-06-01","1999030504:00:00","2024072415:00:00"
"1023635","눌노천","한강","2024-01-16","2024011611:00:00","2024072415:00:00"
"1023640","임진강","한강","2011-12-14","2011121416:00:00","2024072415:00:00"
"1023660","임진강","한강","2000-02-29","1999030504:00:00","2024072415:00:00"
"1023662","사미천","한강","2010-11-11","2010122112:00:00","2024072415:00:00"
"1023670","임진강","한강","1997-12-01","1999030504:00:00","2024072415:00:00"
"1023674","문산천","한강","2023-01-27","2023012716:00:00","2024072415:00:00"
"1023680","문산천","한강","2012-10-15","2012092118:00:00","2024072415:00:00"
"1101605","황구지천","안성천","2013-12-31","2013122711:00:00","2024072415:00:00"
"1101609","NULL","안성천","2005-01-03","2017042016:00:00","2024072415:00:00"
"1101610","안성천","안성천","1962-07-01","1964041904:00:00","2024072415:00:00"
"1101615","NULL","안성천","2005-01-03","2017042015:00:00","2024072415:00:00"
"1101618","한천","안성천","2024-01-16","2024011611:00:00","2024072415:00:00"
"1101620","안성천","안성천","1996-09-01","1996090217:00:00","2024072415:00:00"
"1101625","NULL","안성천","2007-04-13","2018040310:00:00","2024072415:00:00"
"1101628","입장천","안성천","2024-01-16","2024011614:00:00","2024072415:00:00"
"1101630","안성천","안성천","1929-01-01","1930070806:00:00","2024072415:00:00"
"1101635","안성천","안성천","1929-01-01","1930070804:00:00","2024072415:00:00"
"1101645","오산천","안성천","2009-10-27","2009102700:00:00","2024072415:00:00"
"1101650","황구지천","안성천","1932-06-01","1935072215:00:00","2024072415:00:00"
"1101663","진위천","안성천","2010-11-11","2010122112:00:00","2024072415:00:00"
"1101665","진위천","안성천","1962-01-01","1930070811:00:00","2024072415:00:00"
"1101670","진위천","안성천","1986-04-23","1986060101:00:00","2024072415:00:00"
"1101675","진위천","안성천","1962-07-01","1964041813:00:00","1985101400:00:00"
"1101680","안성천","안성천","2007-07-18","2007051416:00:00","2024072415:00:00"
"1101685","NULL","안성천","--","1999072118:00:00","2002032616:00:00"
"1101690","안성천","안성천","1962-06-01","NULL","NULL"
"1101695","NULL","안성천","--","2005101800:00:00","2024072415:00:00"
"1101696","NULL","안성천","--","2005101800:00:00","2024072415:00:00"
"1201620","한강","한강서해","1998-04-01","2002101700:00:00","2024072415:00:00"
"1201651","NULL","한강서해","2011-12-01","2015080512:00:00","2024072415:00:00"
"1201652","NULL","한강서해","2011-12-01","2015080512:00:00","2024072415:00:00"
"1201653","NULL","한강서해","2011-12-01","2015080512:00:00","2024072415:00:00"
"1201654","NULL","한강서해","2011-12-01","2015080512:00:00","2024072415:00:00"
"1202630","반월천","한강서해","1980-01-01","1980060101:00:00","2005123120:00:00"
"1202660","반월천","한강서해","1980-01-01","2007051417:00:00","2009012323:00:00"
"1202670","NULL","한강서해","--","1999072118:00:00","2001090610:00:00"
"1301630","양양남대천","한강동해","2014-12-29","2014122912:00:00","2024072415:00:00"
"1301632","후천","한강동해","2023-01-01","2023012716:00:00","2024072415:00:00"
"1301658","양양남대천","한강동해","1986-09-01","2006010101:00:00","2024072415:00:00"
"1302645","NULL","한강동해","2005-01-03","2017042016:00:00","2024072415:00:00"
"1302648","강릉남대천","한강동해","1946-06-01","1982082601:00:00","2024072415:00:00"
"1302663","신흥천","한강동해","1990-01-01","NULL","NULL"
"1302665","NULL","한강동해","--","2015080417:00:00","2024072415:00:00"
"1302668","전천","한강동해","1947-03-01","2006010101:00:00","2024072415:00:00"
"1302670","연곡천","한강동해","2014-12-29","2014122912:00:00","2024072415:00:00"
"1303610","가곡천","한강동해","2014-12-29","2014122912:00:00","2024072415:00:00"
"1303650","삼척오십천","한강동해","2014-12-29","2014122912:00:00","2024072415:00:00"
"1303680","삼척오십천","한강동해","1986-09-01","2006010101:00:00","2024072415:00:00"
"2001610","황지천","낙동강","2010-01-01","2009102800:00:00","2024072415:00:00"
"2001613","NULL","낙동강","2019-01-01","2019071919:00:00","2024072415:00:00"
"2001615","낙동강","낙동강","2011-03-01","2013071615:00:00","2024072415:00:00"
"2001625","회룡천","낙동강","2016-01-01","2016010100:00:00","2024072415:00:00"
"2001628","낙동강","낙동강","2010-01-01","2009102800:00:00","2024072415:00:00"
"2001629","NULL","낙동강","2019-01-01","2019071919:00:00","2024072415:00:00"
"2001630","낙동강","낙동강","1978-07-16","1985081500:00:00","2024072415:00:00"
"2001650","낙동강","낙동강","2007-01-00","1965071605:00:00","2006112114:00:00"
"2001655","운곡천","낙동강","2010-01-01","2009102800:00:00","2024072415:00:00"
"2001658","낙동강","낙동강","2009-09-03","2015071400:00:00","2024072415:00:00"
"2001660","NULL","낙동강","2019-02-17","1984070301:00:00","2015071613:00:00"
"2001670","NULL","낙동강","1968-03-01","NULL","NULL"
"2001675","NULL","낙동강","1970-03-01","1972081908:00:00","1972082020:00:00"
"2001680","낙동강","낙동강","1978-07-16","1987060120:00:00","2024072415:00:00"
"2001685","낙동강","낙동강","1978-07-16","1984070301:00:00","2024072415:00:00"
"2001690","낙동강","낙동강","1978-07-16","1984070301:00:00","2024072415:00:00"
"2002606","NULL","낙동강","2005-07-30","2015071400:00:00","2018122408:00:00"
"2002609","보현천","낙동강","2014-07-01","2014062316:00:00","2024072415:00:00"
"2002610","NULL","낙동강","2005-07-30","2015071400:00:00","2018122408:00:00"
"2002613","병보천","낙동강","2005-07-30","2015071400:00:00","2024072415:00:00"
"2002616","보현천","낙동강","2014-02-01","2015020104:00:00","2024072415:00:00"
"2002620","반변천","낙동강","1987-09-30","1965071201:00:00","2024072415:00:00"
"2002630","용전천","낙동강","2004-07-30","2006022016:00:00","2024072415:00:00"
"2002633","동천","낙동강","2010-09-24","2015071400:00:00","2024072415:00:00"
"2002634","반변천","낙동강","2014-01-01","2014010100:00:00","2024072415:00:00"
"2002635","반변천","낙동강","2004-07-30","2006022016:00:00","2024072415:00:00"
"2002636","NULL","낙동강","2007-01-00","2006022113:00:00","2006112114:00:00"
"2002638","NULL","낙동강","2019-01-01","2019081403:00:00","2024072415:00:00"
"2002645","반변천","낙동강","2004-07-30","2006022016:00:00","2024072415:00:00"
"2002655","용전천","낙동강","1987-09-30","1987060120:00:00","2024072415:00:00"
"2002675","반변천","낙동강","1987-09-30","1987060120:00:00","2024072415:00:00"
"2002677","반변천","낙동강","1987-09-30","1987060120:00:00","2024072415:00:00"
"2002680","반변천","낙동강","1987-09-30","1980081320:00:00","2024072415:00:00"
"2002685","길안천","낙동강","1988-01-01","1987060120:00:00","2024072415:00:00"
"2002686","길안천","낙동강","2011-10-18","2015071400:00:00","2024072415:00:00"
"2002687","NULL","낙동강","2004-06-01","NULL","NULL"
"2002692","반변천","낙동강","1987-09-30","1987060120:00:00","2024072415:00:00"
"2002695","길안천","낙동강","2014-01-01","2014010100:00:00","2024072415:00:00"
"2003605","NULL","낙동강","1964-04-01","NULL","NULL"
